Symbol,logFC,adj.P.Val,adj.P.Val_1_over,adj.P.Val_2_under
TCP11L1,0.341617034537092,0.0133467443775424,0.0133467443775424,1
PARK7,0.163635257315748,0.0133530687471452,0.0133530687471452,1
ARHGEF2,-0.519789098137737,0.0133544751427963,1,0.0133544751427963
CDH26,0.429964879047936,0.0133790481933558,0.0133790481933558,1
FNIP1,-0.444393492075209,0.0133790481933558,1,0.0133790481933558
NEBL,0.413828713212483,0.0133942407773299,0.0133942407773299,1
COMMD7,-0.239356843843359,0.0133963090998106,1,0.0133963090998106
BMPER,-0.440977150251024,0.013397314472937,1,0.013397314472937
TRPC1,-0.683375674507954,0.0134028369141828,1,0.0134028369141828
DAOA,-0.366009463439887,0.0134080131943023,1,0.0134080131943023
TTBK2,0.56939976210021,0.0134153300725471,0.0134153300725471,1
SOCS2,-0.533797191989247,0.0134267366647687,1,0.0134267366647687
HRASLS2,0.520341228457831,0.0134317530180769,0.0134317530180769,1
GALC,-0.459201348534609,0.0134374067207012,1,0.0134374067207012
RRM2B,0.39669395343235,0.0134430238407176,0.0134430238407176,1
ALAD,-0.362502518559294,0.0134482532779567,1,0.0134482532779567
TUT1,0.40634252665515,0.0134555288653393,0.0134555288653393,1
MCCC2,-0.474297707510799,0.0134676943304836,1,0.0134676943304836
AHSA2,-0.925543266998194,0.0134803044512757,1,0.0134803044512757
PACRG-AS3,0.325073757168039,0.0134884809879848,0.0134884809879848,1
ATF6,-0.280395152327801,0.0134992086357406,1,0.0134992086357406
SENP2,-0.28905450246528,0.0134992086357406,1,0.0134992086357406
CROCC,0.472200700357241,0.0134992086357406,0.0134992086357406,1
CAPN11,0.438334062610453,0.0135012239650506,0.0135012239650506,1
C18orf15,0.421110207798274,0.0135042188409694,0.0135042188409694,1
PPFIBP1,-0.737404775396818,0.0135050618470124,1,0.0135050618470124
NDUFB6,-0.653229481644457,0.0135197820997798,1,0.0135197820997798
BCL2L14,0.517384260721921,0.0135246362040114,0.0135246362040114,1
ARPP19,-0.322820956481303,0.0135279685176576,1,0.0135279685176576
PPIB,-0.246531074251655,0.0135291487603844,1,0.0135291487603844
GATM,0.407901796832482,0.013533066450436,0.013533066450436,1
ESCO1,0.489538891328714,0.0135352405776479,0.0135352405776479,1
RMND5A,0.455350279984939,0.0135533067714089,0.0135533067714089,1
TCF3,0.551645459102443,0.0135544071081572,0.0135544071081572,1
PRKAG1,0.273134120119034,0.0135553954738179,0.0135553954738179,1
CYB561,0.360517947302839,0.0135677247084358,0.0135677247084358,1
ALOX15,0.428171764501604,0.0135683733127214,0.0135683733127214,1
LINC00028,0.493673719344627,0.0135690273172984,0.0135690273172984,1
RORA,-0.533959208512704,0.0135744532714498,1,0.0135744532714498
NIFK,0.493763840920899,0.0135804388242771,0.0135804388242771,1
FAM46A,0.610687984200191,0.0135879674685897,0.0135879674685897,1
SPHK2,-0.471351940446915,0.0135982911478071,1,0.0135982911478071
